id,airport_code,spirit_animal,email,app_name,material_type
"161","MDK","Otter, african clawless","fwholesworth4g@boston.com","Voltsillam","Vinyl",
"162","KCG","Red hartebeest","lhasty4h@themeforest.net","Span","Plastic",
"163","PHI","North American red fox","omckenney4i@imdb.com","Stronghold","Plastic",
"164","ODO","Ringtail, common","kwinsper4j@yellowpages.com","Aerified","Brass",
"165","MWP","Emu","hmcshirrie4k@google.com","Flexidy","Stone",
"166","GEB","Worm snake (unidentified)","ncranmore4l@hhs.gov","Alphazap","Aluminum",
"167","STK","Tern, white-winged","bpurches4m@chronoengine.com","Matsoft","Aluminum",
"168","BEY","Bird, red-billed tropic","atewnion4n@shop-pro.jp","Cardify","Rubber",
"169","TES","Blacksmith plover","cklemenz4o@jiathis.com","Bitchip","Brass",
"170","KGI","Whip-tailed wallaby","bnoye4p@yellowbook.com","Sub-Ex","Plexiglass",
"171","WUA","Snake (unidentified)","nthorn4q@nydailynews.com","Fintone","Plexiglass",
"172","LII","Malachite kingfisher","gmioni4r@deviantart.com","Veribet","Steel",
"173","PNK","Mourning collared dove","pcrewe4s@archive.org","Aerified","Vinyl",
"174","MCC","Cormorant, king","lbauckham4t@kickstarter.com","Alpha","Wood",
"175","BLW","Black-tailed prairie dog","hede4u@redcross.org","Zoolab","Vinyl",
"176","GMM","Kangaroo, eastern grey","rguidone4v@mail.ru","Voyatouch","Stone",
"177","PYV","Wolf, mexican","cliell4w@sourceforge.net","Ronstring","Glass",
"178","JRN","Barrows goldeneye","lsutlieff4x@cbsnews.com","Job","Aluminum",
"179","PGZ","Monkey, bleeding heart","asivier4y@tinyurl.com","Opela","Vinyl",
"180","QRM","Common shelduck","mleyrroyd4z@umn.edu","Bytecard","Plastic",
"181","ATK","Malabar squirrel","dfalls50@columbia.edu","Otcom","Granite",
"182","QEF","Goat, mountain","dbullen51@moonfruit.com","Keylex","Rubber",
"183","AGO","Deer, barasingha","nkippen52@uiuc.edu","Konklab","Glass",
"184","MNC","Little brown bat","ajurkiewicz53@wikia.com","Voltsillam","Wood",
"185","MDT","Butterfly (unidentified)","bbeddie54@google.pl","Prodder","Plexiglass",
"186","YDP","Canada goose","vgrayer55@skype.com","Tin","Glass",
"187","ECG","Shrike, common boubou","dtomlinson56@nifty.com","Quo Lux","Rubber",
"188","WIE","Falcon, peregrine","zlabrom57@jiathis.com","Wrapsafe","Plastic",
"189","VQQ","Common ringtail","cdallander58@blog.com","Wrapsafe","Vinyl",
"190","AKI","Squirrel, smith's bush","pcarous59@cbc.ca","Trippledex","Stone",
"191","FKL","Iguana, common green","bpacitti5a@meetup.com","Daltfresh","Glass",
"192","SJJ","Coatimundi, ring-tailed","rbowdler5b@si.edu","Job","Glass",
"193","NGL","Ox, musk","lmcgonigle5c@gizmodo.com","Bytecard","Stone",
"194","MTB","Reedbuck, bohor","bscrooby5d@bizjournals.com","Greenlam","Glass",
"195","BJL","Badger, american","gcoleridge5e@tuttocitta.it","Sonair","Steel",
"196","KYT","Crane, blue","ocrosen5f@vkontakte.ru","It","Brass",
"197","AYN","Euro wallaby","vmallalieu5g@toplist.cz","Holdlamis","Aluminum",
"198","GOL","White-throated kingfisher","tdellabbate5h@google.nl","Tin","Aluminum",
"199","PPC","White-lipped peccary","smertin5i@spiegel.de","Cardify","Glass",
"200","YHA","Sidewinder","rsiss5j@nydailynews.com","Stronghold","Brass",
"201","KAL","Northern fur seal","nwaymont5k@bloglovin.com","Fix San","Plastic",
"202","ORY","Tortoise, burmese brown mountain","marmand5l@yelp.com","Holdlamis","Steel",
"203","UCZ","Bee-eater, white-fronted","tpolo5m@cmu.edu","Cardify","Plexiglass",
"204","YLP","Turtle, long-necked","mwagenen5n@princeton.edu","Greenlam","Brass",
"205","NKT","Ring-tailed possum","rsommerville5o@wisc.edu","Wrapsafe","Vinyl",
"206","AOE","Asian lion","nmorfey5p@geocities.com","Gembucket","Glass",
"207","KWP","Spurfowl, yellow-necked","hhorry5q@youku.com","Zaam-Dox","Plexiglass",
"208","ANK","Legaan, ground","shawksby5r@arstechnica.com","Namfix","Aluminum",
"209","HHE","Cormorant, neotropic","tshotbolt5s@telegraph.co.uk","Pannier","Rubber",
"210","ADL","Common nighthawk","asyphus5t@mayoclinic.com","Bamity","Steel",
"211","RCQ","White-faced tree rat","bdellit5u@yandex.ru","Redhold","Granite",
"212","RIM","Black-cheeked waxbill","jchecchetelli5v@nhs.uk","Opela","Aluminum",
"213","OSR","Snake, green vine","mbranch5w@geocities.com","Rank","Plexiglass",
"214","OGO","Stork, greater adjutant","escurfield5x@list-manage.com","Stim","Granite",
"215","MGM","American badger","mlacheze5y@europa.eu","Fix San","Granite",
"216","BZL","Dog, black-tailed prairie","kduesbury5z@ow.ly","Wrapsafe","Plastic",
"217","XKS","Three-banded plover","eferrie60@dyndns.org","It","Granite",
"218","RBW","Flamingo, chilean","tcrispin61@flickr.com","Flexidy","Aluminum",
"219","ZGL","Ostrich","dlukianovich62@parallels.com","Job","Brass",
"220","ESD","African black crake","hfend63@chicagotribune.com","Latlux","Plastic",
"221","GWN","Badger, european","devert64@ca.gov","Domainer","Plastic",
"222","SXS","Arboral spiny rat","ahercock65@g.co","Y-find","Rubber",
"223","BDE","Small Indian mongoose","rgoose66@yandex.ru","Zamit","Rubber",
"224","DPE","Sociable weaver","bdansie67@bbc.co.uk","Konklab","Steel",
"225","CSM","Brush-tailed rat kangaroo","kbeswetherick68@angelfire.com","Bamity","Vinyl",
"226","EFL","Common wallaroo","jasee69@mail.ru","Zathin","Rubber",
"227","YKO","Russian dragonfly","fgirkins6a@wikia.com","Cardify","Glass",
"228","CHC","Crab-eating fox","rfielder6b@booking.com","Sonair","Steel",
"229","SJU","Rock dove","ndedei6c@yellowpages.com","Fixflex","Wood",
"230","KRD","Flamingo, greater","nlydford6d@huffingtonpost.com","Cardguard","Wood",
"231","KMO","Southern black-backed gull","rnel6e@reddit.com","Tampflex","Glass",
"232","YTD","Kangaroo, western grey","belcy6f@dagondesign.com","Greenlam","Wood",
"233","CLY","Dragon, asian water","vpalfreeman6g@forbes.com","Konklux","Stone",
"234","RRE","Bald eagle","esergeaunt6h@yandex.ru","Tres-Zap","Granite",
"235","BMS","Grenadier, purple","tbroadway6i@wordpress.org","Span","Steel",
"236","YVM","Australian spiny anteater","mblastock6j@businessinsider.com","Solarbreeze","Rubber",
"237","VPS","Bahama pintail","geversfield6k@economist.com","Cookley","Plastic",
"238","ETM","Lorikeet, scaly-breasted","prihanek6l@360.cn","Tin","Plexiglass",
"239","WTB","White-rumped vulture","bgrix6m@un.org","Bigtax","Granite",
"240","SKI","Red kangaroo","mledbetter6n@reuters.com","Fintone","Vinyl",
"241","HWA","Snake (unidentified)","hfirpi6o@paginegialle.it","Zathin","Granite",
"242","THN","Grizzly bear","dbrenard6p@webeden.co.uk","Bitwolf","Stone",
"243","XGG","Drongo, fork-tailed","krewbottom6q@addtoany.com","Tresom","Aluminum",
"244","BLJ","Grey heron","dstanning6r@mapquest.com","Biodex","Vinyl",
"245","WLK","Turtle (unidentified)","ryonnie6s@aboutads.info","Andalax","Plexiglass",
"246","CHJ","Gerenuk","acavil6t@ibm.com","Voyatouch","Stone",
"247","LDC","Crimson-breasted shrike","dsewley6u@pcworld.com","Holdlamis","Stone",
"248","RNM","Goose, snow","hpoxton6v@weather.com","Tresom","Stone",
"249","ZJN","Eastern indigo snake","cwoolfoot6w@kickstarter.com","Fix San","Vinyl",
"250","ING","Amazon parrot (unidentified)","warkin6x@disqus.com","Redhold","Wood",
"251","YPG","Kangaroo, red","abantock6y@merriam-webster.com","Cardify","Plastic",
"252","CCM","Lava gull","dsyder6z@bravesites.com","Flexidy","Glass",
"253","RCH","Otter, small-clawed","kcourtes70@comcast.net","Lotstring","Plastic",
"254","PZL","Possum, pygmy","pdonovan71@dagondesign.com","Redhold","Brass",
"255","HMO","American bison","ahuegett72@homestead.com","Stronghold","Granite",
"256","AVL","Otter, cape clawless","rflory73@goodreads.com","Daltfresh","Rubber",
"257","NBS","Cobra, cape","mdurman74@studiopress.com","Bytecard","Brass",
"258","QHP","Echidna, short-beaked","lnorker75@booking.com","Job","Plastic",
"259","VVO","Owl, great horned","lgallon76@e-recht24.de","Lotstring","Glass",
"260","KEL","Black curlew","lbees77@youtube.com","Regrant","Plexiglass",
"261","GLF","Tawny frogmouth","hhexum78@unesco.org","Fintone","Aluminum",
"262","HPH","Springbuck","rpetersen79@weebly.com","Stim","Plastic",
"263","HKY","Sugar glider","kkrzyzaniak7a@qq.com","Tres-Zap","Rubber",
"264","YEY","Eleven-banded armadillo (unidentified)","hduchenne7b@geocities.com","Namfix","Vinyl",
"265","BLP","Civet cat","bpyburn7c@go.com","Viva","Stone",
"266","AKC","Bird, magnificent frigate","cmuff7d@discovery.com","Lotlux","Glass",
"267","URI","North American porcupine","dtolliday7e@example.com","Y-find","Rubber",
"268","YNA","Lilac-breasted roller","cjaze7f@dagondesign.com","Daltfresh","Plastic",
"269","BEL","Tortoise, desert","heacle7g@desdev.cn","Stringtough","Stone",
"270","BSM","Moccasin, water","jstickells7h@vinaora.com","Regrant","Vinyl",
"271","PSJ","Steller's sea lion","mmcalarney7i@sphinn.com","Opela","Plastic",
"272","SIH","Cat, cape wild","sleys7j@walmart.com","Fixflex","Vinyl",
"273","HAW","Hyrax","alapley7k@wikipedia.org","Fix San","Glass",
"274","MQQ","White-throated kingfisher","roflannery7l@ucla.edu","Ronstring","Stone",
"275","WMX","Campo flicker","hpeart7m@nature.com","Konklux","Steel",
"276","JLR","Hoary marmot","ichilderhouse7n@seesaa.net","Duobam","Plexiglass",
"277","AMJ","Brown capuchin","bdudden7o@oracle.com","Stronghold","Stone",
"278","CPQ","Ass, asiatic wild","ethickett7p@marriott.com","Bitchip","Stone",
"279","HEE","Egret, snowy","rjozwiak7q@buzzfeed.com","Y-Solowarm","Brass",
"280","BNH","Klipspringer","llewry7r@senate.gov","Zathin","Granite",
"281","VGT","North American river otter","pcrosby7s@symantec.com","Fintone","Aluminum",
"282","LET","Yellow-rumped siskin","ealexsandrowicz7t@unesco.org","Lotlux","Brass",
"283","HPN","Pelican, eastern white","gadam7u@vimeo.com","Sonair","Wood",
"284","KNT","Bear, black","hbeeho7v@sciencedirect.com","Tempsoft","Vinyl",
"285","SCF","Jackal, golden","fdorr7w@patch.com","Bitwolf","Aluminum",
"286","MXH","Squirrel, european red","mlorroway7x@google.ru","Fix San","Glass",
"287","BOB","Baboon, savanna","mmesser7y@blogspot.com","Bitchip","Granite",
"288","LIR","Constrictor, eastern boa","lwisedale7z@google.com.br","Cardguard","Wood",
"289","ENO","Eastern box turtle","btopham80@yahoo.co.jp","Sonsing","Granite",
"290","DBA","Radiated tortoise","hpiatkowski81@sciencedaily.com","Gembucket","Wood",
"291","DKV","Screamer, southern","traulstone82@ask.com","Mat Lam Tam","Plastic",
"292","VPE","Gull, pacific","fcropton83@goodreads.com","Job","Plexiglass",
"293","0","Bee-eater, white-fronted","aivanshintsev84@rakuten.co.jp","Subin","Stone",
"294","KIH","European stork","pcubley85@reverbnation.com","Matsoft","Vinyl",
"295","ILO","Toddy cat","kcarvell86@google.it","Lotstring","Aluminum",
"296","KSW","Vicuna","tvanderdaal87@ucsd.edu","Cardguard","Glass",
"297","RGT","Common shelduck","bbareford88@chronoengine.com","Bytecard","Glass",
"298","CWT","Vulture, black","msimmonett89@yahoo.com","Flowdesk","Vinyl",
"299","GCK","Wild boar","tcochern8a@hud.gov","Viva","Rubber",
"300","BTQ","Bear, sloth","ssteggals8b@reddit.com","Otcom","Stone",
"301","NCN","Pied crow","balker8c@scribd.com","Sonair","Vinyl",
"302","BKU","European beaver","tsango8d@cargocollective.com","Tampflex","Plexiglass",
"303","OVD","Cormorant (unidentified)","pkretchmer8e@ebay.co.uk","Sub-Ex","Plastic",
"304","RFA","Black bear","uviner8f@prlog.org","Alpha","Steel",
"305","BJV","Worm snake (unidentified)","hmecozzi8g@noaa.gov","Stringtough","Vinyl",
"306","DEF","Eagle, white-bellied sea","cgemmell8h@china.com.cn","Sonsing","Vinyl",
"307","APH","Fox, arctic","dplampin8i@about.me","Job","Stone",
"308","KDC","Ring-tailed coatimundi","ocarvilla8j@t.co","Konklab","Steel",
"309","YOH","Bleu, red-cheeked cordon","jprothero8k@mayoclinic.com","Otcom","Rubber",
"310","OZG","Goldeneye, barrows","hreddlesden8l@nytimes.com","Job","Aluminum",
"311","CIS","Lion, australian sea","khazel8m@mapquest.com","Kanlam","Brass",
"312","DTN","Red lava crab","vfryer8n@t-online.de","Lotlux","Rubber",
"313","WAM","Australian pelican","ccolquete8o@diigo.com","Y-Solowarm","Vinyl",
"314","PAH","Tawny frogmouth","aspira8p@i2i.jp","Opela","Steel",
"315","MNY","Kori bustard","nmilan8q@merriam-webster.com","Latlux","Plexiglass",
"316","IMQ","Wildebeest, blue","brussilll8r@weather.com","Subin","Rubber",
"317","NNM","Blacksmith plover","vkibbel8s@harvard.edu","Zoolab","Steel",
"318","SHN","Goose, knob-nosed","hcastro8t@weather.com","Transcof","Vinyl",
"319","CDW","Cook's tree boa","mconlon8u@dion.ne.jp","Alpha","Plastic",
"320","BMT","Viper, egyptian","rbru8v@kickstarter.com","Prodder","Steel",
"321","KTY","Brown capuchin","vmaleby8w@webnode.com","Biodex","Rubber",
"322","KSS","Macaw, green-winged","kdurn8x@ameblo.jp","Overhold","Brass",
"323","AWZ","Starling, superb","smityushkin8y@newyorker.com","Stringtough","Steel",
"324","PGX","Grey phalarope","malekseev8z@home.pl","Gembucket","Wood",
"325","0","Stork, jabiru","mbreakspear90@ow.ly","Treeflex","Plexiglass",
"326","EGA","Stork, white-necked","cberkelay91@163.com","Cookley","Brass",
"327","LPB","Sungazer, yellow-brown","sidwalevans92@tamu.edu","Hatity","Wood",
"328","EKA","Eastern grey kangaroo","khiskey93@is.gd","Pannier","Aluminum",
"329","GWN","Heron, green","rgrabb94@bloglovin.com","Biodex","Brass",
"330","YMN","Blue-tongued skink","fcuddihy95@moonfruit.com","Bitwolf","Aluminum",
"331","SCY","Fox, bat-eared","ctrumble96@yelp.com","Otcom","Stone",
"332","JJG","Hoopoe, eurasian","cpistol97@jigsy.com","Toughjoyfax","Stone",
"333","BUU","Crane, stanley","ccreavin98@sakura.ne.jp","Fix San","Brass",
"334","WLW","Lesser flamingo","yallender99@jalbum.net","Y-Solowarm","Aluminum",
"335","AVN","Black-capped chickadee","pheare9a@tripod.com","Keylex","Plastic",
"336","BMV","Eagle, white-bellied sea","lclows9b@nytimes.com","Bitchip","Aluminum",
"337","BDY","Cormorant, pied","blyles9c@dion.ne.jp","Cardify","Plexiglass",
